maxepsilon,minpoint,nbrlibrary,nbrapplication,stepepsilon,nbrPattern,PUC,Datetime
0.6,2,1459,1001,0.012,77,0.9176389355237106,2021-07-25 10:19:15.226707
0.6,3,1459,1001,0.012,43,0.9104493175296667,2021-07-25 11:12:53.447636
0.6,4,1459,1001,0.012,27,0.907663994257072,2021-07-25 12:08:15.944223
0.6,5,1459,1001,0.012,17,0.8638093271393376,2021-07-25 13:07:18.645452
0.6,6,1459,1001,0.012,9,0.8526830456178282,2021-07-25 14:05:42.998478
0.6,7,1459,1001,0.012,8,0.7728277702236035,2021-07-25 15:01:44.820483
0.6,8,1459,1001,0.012,8,0.7820792259211377,2021-07-25 15:58:16.054485
0.6,9,1459,1001,0.012,6,0.7457739191754538,2021-07-25 16:55:37.713659
0.6,10,1459,1001,0.012,6,0.8618323705280226,2021-07-25 17:55:21.511169
0.6,11,1459,1001,0.012,5,0.8414715719063544,2021-07-25 18:53:13.209984
0.6,12,1459,1001,0.012,5,0.8239618393776608,2021-07-25 19:52:14.447769
0.6,13,1459,1001,0.012,5,0.8239618393776608,2021-07-25 20:49:58.745939
0.6,14,1459,1001,0.012,5,0.8291941391941391,2021-07-25 21:47:01.143365
0.6,15,1459,1001,0.012,4,0.9478021978021978,2021-07-25 22:44:16.757839
0.6,16,1459,1001,0.012,4,0.9481570512820513,2021-07-25 23:43:45.637448
0.6,17,1459,1001,0.012,4,0.9481570512820513,2021-07-26 00:41:49.945846
0.6,18,1459,1001,0.012,4,0.9481570512820513,2021-07-26 01:39:08.662776
0.6,19,1459,1001,0.012,4,0.9481570512820513,2021-07-26 02:36:06.895292
