maxepsilon,minpoint,nbrlibrary,nbrapplication,stepepsilon,nbrPattern,PUC,Datetime
0.8,2,9,8,0.012,2,0.7083333333333333,2021-08-07 14:38:28.045965
0.4,1,9,8,0.012,2,1.0,2021-08-07 14:42:43.611942
0.2,1,9,8,0.012,2,1.0,2021-08-07 14:43:36.120104
0.3,1,9,8,0.012,2,1.0,2021-08-07 14:50:12.272183
0.5,1,9,8,0.012,2,1.0,2021-08-07 14:50:22.188581
0.8,1,9,8,0.012,2,0.55,2021-08-07 14:50:37.886515
0.7,1,9,8,0.012,2,0.7083333333333333,2021-08-07 14:50:47.358515
0.6,1,9,8,0.012,2,1.0,2021-08-07 14:51:04.478370
0.6,1,9,7,0.012,2,1.0,2021-08-07 14:57:30.651064
0.8,1,9,7,0.012,2,0.625,2021-08-07 14:58:01.244332
0.7,1,9,7,0.012,2,0.7083333333333333,2021-08-07 14:58:23.310423
0.6,1,9,7,0.012,2,1.0,2021-08-07 14:58:45.017709
0.65,1,9,7,0.012,2,1.0,2021-08-07 14:59:12.022188
0.66,1,9,7,0.012,2,1.0,2021-08-07 14:59:21.377708
0.67,1,9,7,0.012,2,1.0,2021-08-07 14:59:29.127179
0.68,1,9,7,0.012,2,1.0,2021-08-07 14:59:36.404360
0.7,1,9,7,0.012,2,0.7083333333333333,2021-08-07 14:59:46.164197
0.6,1,9,7,0.012,2,1.0,2021-08-07 15:02:24.743790
0.68,1,9,7,0.012,2,1.0,2021-08-07 15:02:35.947952
0.67,1,9,7,0.012,2,1.0,2021-08-07 15:02:43.750260
0.68,1,9,7,0.012,2,1.0,2021-08-07 15:03:07.436915
0.68,1,9,7,0.0012,2,1.0,2021-08-07 15:03:19.717201
0.69,1,9,7,0.0012,2,1.0,2021-08-07 15:03:30.973082
0.6999,1,9,7,0.0012,2,1.0,2021-08-07 15:03:39.242552
0.7,1,9,7,0.0012,2,0.7083333333333333,2021-08-07 15:03:50.059185
0.6999999999,1,9,7,0.0012,2,1.0,2021-08-07 15:04:02.460126
0.6999999999,1,9,7,1.2e-07,2,1.0,2021-08-07 15:04:16.654666
0.6999999999,1,9,7,1.2e-17,2,1.0,2021-08-07 15:04:25.212162
0.7,1,9,7,1.2e-17,2,0.7083333333333333,2021-08-07 15:04:39.692626
0.7,1,9,7,1.2e-17,2,0.7083333333333333,2021-08-07 15:05:40.769327
0.7,1,9,7,1.2e-17,2,0.7083333333333333,2021-08-07 15:05:46.949305
0.699999999999999,1,9,7,1.2e-17,2,1.0,2021-08-07 15:05:52.365976
0.6999999999999998,1,9,7,1.2e-17,2,1.0,2021-08-07 15:06:00.340238
0.6999999999999998,1,9,7,1.2e-17,2,1.0,2021-08-07 15:06:05.756562
0.6999999999999998,1,9,7,1.2e-17,2,1.0,2021-08-07 15:06:13.724185
0.7,1,9,7,1.2e-17,2,0.7083333333333333,2021-08-07 15:06:18.977706
0.7,1,9,7,1.2e-17,2,0.7083333333333333,2021-08-07 15:06:24.739561
0.7,1,9,7,1.2e-17,2,0.7083333333333333,2021-08-07 15:06:34.633459
0.6999999999999998,1,9,7,1.2e-17,2,1.0,2021-08-07 15:06:40.182967
0.7,1,9,7,1.2e-17,2,0.7083333333333333,2021-08-07 15:06:54.298154
0.6999999999999998,1,9,7,1.2e-17,2,1.0,2021-08-07 15:07:07.172673
0.6999999999999998,1,9,7,1e-17,2,1.0,2021-08-07 15:07:14.091462
0.7,1,9,7,1e-17,2,0.7083333333333333,2021-08-07 15:07:28.710199
0.7,1,9,7,1e-17,2,0.7083333333333333,2021-08-07 15:07:38.001281
0.7,1,9,7,1e-17,2,0.7083333333333333,2021-08-07 15:07:49.166599
0.6999999999999998,1,9,7,1e-17,2,1.0,2021-08-07 15:08:22.345934
0.7,1,9,7,1e-17,2,0.7083333333333333,2021-08-07 15:08:29.613748
0.7,1,9,7,1e-56,2,0.7083333333333333,2021-08-07 15:08:36.920120
