Maxepsilon,AveragePUC
0.1,e
0.1,e
0.1,e,<class 'datetime.datetime'>
0.1,e,2021-07-06 17:31:01.237125
0.1,e,2021-07-06 18:27:17.866544
0.8,e,2021-07-06 19:04:03.885993
0.8,2021-07-06 19:04:28.718821
0.8,2021-07-06 20:03:07.766367
0.8,10,18,12,2021-07-06 20:24:54.940429
0.8,10,18,12,0.1,2021-07-06 20:26:01.995270
0.8,10,18,12,0.1,2021-07-06 20:48:38.479102
0.8,10,18,12,0.1,2021-07-06 20:48:58.895993
0.8,10,18,12,0.1,2021-07-06 20:50:19.497197
0.8,10,18,12,0.1,2021-07-06 20:51:26.563185
0.8,10,18,12,0.1,2021-07-06 20:51:28.708314
0.8,10,18,12,0.1,2021-07-06 20:52:07.996773
0.8,10,18,12,0.1,2021-07-06 20:56:32.600918
0.8,10,18,12,0.1,2021-07-06 20:56:58.444064
0.8,10,18,12,0.1,2021-07-06 20:57:22.935787
0.8,10,18,12,0.1,2021-07-06 20:57:34.737957
0.8,10,18,12,0.1,2021-07-06 20:57:37.031136
0.8,10,18,12,0.1,2021-07-06 20:58:18.169543
0.8,10,18,12,0.1,2021-07-06 20:58:41.491156
0.8,10,18,12,0.1,2021-07-06 20:59:20.607458
0.8,10,18,12,0.1,2021-07-06 20:59:33.471268
0.8,10,18,12,0.1,2021-07-06 20:59:52.882283
0.8,10,18,12,0.1,2021-07-06 20:59:55.001363
0.8,10,18,12,0.1,2021-07-06 21:00:57.904559
0.8,10,18,12,0.1,2021-07-06 21:06:21.218004
0.8,10,18,12,0.1,2021-07-06 21:06:30.753083
0.8,10,18,12,0.1,2021-07-06 21:06:32.654522
0.8,10,1459,1001,0.1,2021-07-07 08:22:39.551836
0.7,10,1459,1001,0.1,2021-07-07 11:04:11.133803
0.7,10,1459,1001,0.1,10,2021-07-07 13:28:00.613403
0.7,10,1459,1001,0.05,10,2021-07-07 16:14:50.712571
0.7,5,18,12,0.05,1,2021-07-10 14:02:32.123246
0.7,5,18,12,0.05,1,2021-07-10 14:27:00.533447
0.7,5,18,12,0.05,1,2021-07-10 14:30:39.893499
0.7,4,18,18,0.05,1,2021-07-10 14:32:32.012878
0.7,3,18,18,0.05,2,2021-07-10 14:32:47.481433
0.7,3,1459,1001,0.05,64,2021-07-10 15:37:25.130346
0.7,3,18,12,0.05,2,2021-07-10 16:24:20.567937
0.7,3,18,12,0.05,2,2021-07-10 16:24:50.484595
0.7,3,18,12,0.05,2,2021-07-10 16:33:18.091293
0.7,3,18,12,0.05,2,2021-07-10 16:33:49.242317
0.7,3,18,12,0.05,2,2021-07-10 16:36:59.918295
0.7,3,18,12,0.05,2,2021-07-10 16:37:17.025123
0.7,3,18,12,0.05,2,2021-07-10 16:39:28.367379
0.7,3,18,12,0.05,2,2021-07-10 16:39:38.889207
0.7,10,1459,1001,0.05,10,2021-07-10 17:35:05.201766
0.7,20,1459,1001,0.05,5,2021-07-10 21:53:23.849034
0.6,6,1459,1001,0.05,9,2021-07-10 23:23:49.323524
0.9,10,1459,1001,0.05,28,2021-07-11 01:07:50.549004
0.3,10,1459,1001,0.05,3,2021-07-11 08:38:57.788654
0.4,3,1459,1001,0.05,39,2021-07-11 10:56:14.689880
0.4,20,1459,1001,0.05,3,2021-07-11 12:50:56.540136
0.5,4,1459,1001,0.05,26,2021-07-11 17:51:13.948437
0.2,4,1459,1001,0.05,22,2021-07-11 22:30:51.722323
0.7,4,1459,1001,0.025,47,2021-07-12 00:05:05.814617
0.7,2,1459,1001,0.025,95,2021-07-12 01:38:19.677522
0.7,2,1459,1001,0.012,95,2021-07-12 08:10:08.681212
0.7,10,1459,1001,0.012,10,2021-07-12 11:28:06.631401
0.7,2,18,12,0.012,3,0.8392857142857143,2021-07-23 13:59:45.382725
0.7,2,18,12,0.012,3,0.8392857142857143,2021-07-23 13:59:48.266923
